Cod Transaccion;Num. unidades;Valor unidad para las operaciones del dia t;Valor fondo al cierre del dia t;Num. Invers.;Rentab. dia;Rentab. mes;Rentab. sem;Rentab. ano
254;84608.565;11912.21;1007874810.97;4;13.493766;15.680004;17.82246;18.996758
255;529218.335;13229.21;7001141375.97;1;16.89738;19.148998;21.355524;22.564934
256;48753.378;12844.25;626200344.90;16;13.219037;15.399993;17.53728;18.708742
257;266741.016;16248.81;4334223614.94;1;104.87062;24.89009;51.995132;62.223286
258;148441.678;14834.78;2202099399.11;1;102.34621;23.349077;50.12067;0.0
259;55878.599;15873.60;886994460.61;20;100.861145;22.442547;49.017963;59.046352
260;88668.144;15928.86;1412382074.21;2;101.848755;23.045418;49.751244;0.0
261;120371.153;15926.47;1917087745.26;9;101.35374;22.743242;49.383785;59.436695
262;167375.586;11320.92;1894845522.97;3;7.019083;-4.981441;12.383479;12.150983
263;84762.927;11323.02;959772563.35;48;6.494548;-5.44731;11.832724;11.601364
264;148214.118;11291.13;1673505338.25;9;6.756173;-5.214946;12.107427;11.8755
265;97054.874;11133.10;1080521145.75;1;7.283287;-4.746786;12.66089;0.0
266;289323.221;11568.85;3347135885.87;1;8.624068;-3.555956;14.068676;13.832713
267;24006.295;11307.14;271442447.43;1;7.548797;-4.510972;12.939175;12.70578
268;260814.15;11920.72;3109091722.39;1;13.242045;16.413069;20.469269;17.34317
269;147572.26;11836.37;1746720066.66;2;11.844421;14.976417;18.982697;15.895072
270;192616.45;11809.50;2274703805.87;9;11.569015;14.69332;18.689762;15.609719
271;65925.097;11760.38;775304198.76;25;11.294959;14.411611;18.396942;15.325121
272;486457.822;11379.69;5535737037.68;1;14.793336;19.03032;17.323895;0.0
273;46842.943;11074.63;518768456.41;17;11.181017;15.285039;13.647999;0.0
274;145230.99;11189.36;1625041247.38;1;12.543207;16.69737;15.0243;0.0
275;240341.008;11096.25;2666884916.66;15;11.450818;15.564771;13.897692;0.0
276;1298618.552;11379.69;14777870742.97;1;14.793335;19.03032;17.323895;0.0
277;197154.685;11119.75;2192310300.05;4;11.721928;15.84586;14.184965;0.0
278;90492.898;11999.46;1085866038.62;32;54.619614;16.76853;34.91782;0.0
279;115328.898;11958.16;1379121628.69;10;54.99908;17.055325;35.249058;0.0
280;119649.281;11975.25;1432829661.73;2;55.38041;17.343527;35.581924;0.0
281;378964.712;11992.40;4544695662.44;2;55.763615;17.63315;35.91643;0.0
282;24931.939;12051.26;300461312.47;1;56.14871;17.9242;36.274536;0.0
283;248327.301;12109.33;3007077883.70;1;57.708282;19.102919;37.613968;0.0
284;1267825.667;11211.30;14213972305.23;63;20.110037;20.92169;22.70689;0.0
285;1491516.187;11317.92;16880860393.62;1;22.46407;23.291588;25.111677;0.0
286;174992.775;11161.76;1953227714.14;6;20.69004;21.505604;23.2994;0.0
287;49825.757;10187.45;507597569.40;2;7.726704;9.175985;0.0;0.0
288;38647.892;10226.01;395213686.15;2;8.520634;9.980567;0.0;0.0
289;125000;10268.37;1283546456.30;1;10.419316;11.90472;0.0;0.0
290;1859869.912;10188.88;18949984163.16;1;13.23221;14.799925;0.0;0.0
291;2255539.011;10154.11;22902990493.31;105;11.05517;12.592826;0.0;0.0
292;223536.142;10171.63;2273726590.81;5;11.591565;13.136628;0.0;0.0
293;2463911.759;10882.56;26813664205.86;81;12.609358;10.167713;3.119347;3.714446
294;235664.457;2675.85;630603168.86;2;3.619158;-25.79226;-15.156929;-13.767907
295;3270441.165;17411.23;56942419004.90;24;0.002934;6.031474;54.84926;28.99591
296;2546422.98;16430.71;41839529709.86;24;0.00612;4.371015;14.892116;11.78223
297;175294.789;4484.52;786112698.17;3;5.080662;-9.007414;-6.357062;-6.39343
298;57246.353;4925.14;281946244.90;2;3.855544;-16.425596;-10.064591;-9.75837
299;1567852.752;2007.15;3146920879.56;24;0.064813;-32.33586;87.69982;-5.962142
300;57897.698;234866.13;13598208539.70;146;-0.173384;3.670206;2.363171;0.150546
301;12420549.759;4293.00;53321479524.96;1;-0.170858;-0.126122;53.349056;19.008612
302;7131860.953;32676.02;233040821412.86;12;0.532385;8.596738;-21.634317;-23.830084
303;5136709.504;3705.99;19036618507.13;1;-0.486184;-0.057397;53.41921;19.10999
304;7066.496;31912.51;225509590.33;1;0.532385;7.371472;-22.45463;-24.49982
305;264691771198.055;0.26;67505348950.10;5;0.143221;-1.07857;181.26341;69.26537
306;10300111.303;15504.46;159697679494.28;3;0.007454;-25.165323;-15.947086;-21.86015
307;42225100.637;247.73;10460288690.62;1;-17.579552;-5.811666;167.23804;57.766598
308;2680596.081;15401.22;41284463357.53;79;0.001002;-0.048753;27.826622;10.826205
309;6718823.528;715.23;4805507717.26;4;4.132717;-100.0;-99.81939;-96.43013
310;437708.564;625.93;273973843.21;2;0.087742;-100.0;-99.85708;-96.826195
311;3789876.031;12221.87;46319366452.96;45;-0.561336;5.378768;-9.450062;-2.798731
312;99241.26;0.64;63915.52;2;2962658.2;11958.639;-58.73646;-99.671844
313;3560132.629;49041.42;174593952833.35;1;0.005457;9.658372;30.536657;21.434479
314;106392516855.752;17.30;1841055794666.80;20;0.064531;19.182123;15.467105;15.488714
315;1894487.139;15265.62;28920526086.65;7;0.064279;-6.901403;-52.349407;-37.201996
316;7118845.019;15865.92;112947040798.97;3;0.064279;-2.751768;-51.356213;-36.045197
317;1007197.858;15072.20;15180686688.28;4;0.064279;-2.885963;-53.69688;-35.629395
318;1556825.148;2631.84;4097319209.56;3;0.675107;-14.123639;-94.12963;-83.85167
319;7704541.274;13509.16;104081883729.25;29;0.075975;-1.003518;19.69768;19.940172
320;51637108.047;4355.72;224916937052.62;13;0.033488;-34.346714;-38.138714;-23.791538
321;192288409.625;10198.99;1961147355455.64;3;0.010869;-0.076211;5.139623;-3.66056
322;8413071.444;31754.60;267153714024.43;3;0.041116;8.222377;23.814827;17.947348
323;2172462.6;6794.18;14760099228.74;13;0.003847;-23.830315;-49.590088;-41.868393
